Word,Tag,Response
Secret,# Curiosity,attentive%100
Confidential,# Curiosity,attentive%100
Controversial,# Curiosity,attentive%100
Underground,# Curiosity,attentive%100
What no one tells you,# Curiosity,attentive%100
Have you heard,# Curiosity,attentive%100
Cover-up,# Curiosity,attentive%100
Forbidden,# Curiosity,attentive%100
Banned,# Curiosity,attentive%100
Behind the Scenes,# Curiosity,attentive%100
Secret agenda,# Curiosity,attentive%100
Secret plot,# Curiosity,attentive%100
Insider,# Curiosity,attentive%100
Off-the record,# Curiosity,attentive%100
Blacklisted,# Curiosity,attentive%100
Censored,# Curiosity,attentive%100
Concealed,# Curiosity,attentive%100
Confessions,# Curiosity,attentive%100
Unbelievable,# Curiosity,attentive%100
Covert,# Curiosity,attentive%100
No one talks about,# Curiosity,attentive%100
Hidden,# Curiosity,attentive%100
underground,# Curiosity,attentive%100
Magical,# Urgency,
Instantly,# Urgency,
Missing Out,# Urgency,
Left behind,# Urgency,
Magnificent,# Urgency,
Miracle,# Urgency,
Most Important,# Urgency,
Profitable,# Urgency,
Proven,# Urgency,
Quick,# Urgency,
Remarkable,# Urgency,
Results,# Urgency,
Revolutionary,# Urgency,
Safe,# Urgency,
Save,# Urgency,
Sensational,# Urgency,
Should,# Urgency,
Startling,# Urgency,
Strongly agree/ recommend,# Urgency,
Strongly suggest,# Urgency,
Superb,# Urgency,
Superior,# Urgency,
Tremendous,# Urgency,
Truly,# Urgency,
Trustworthy,# Urgency,
Urge,# Urgency,
Worthwhile,# Urgency,
Deadline,# Urgency,
Limited,# Urgency,
Seize,# Urgency,
bargain,# Urgency,
Discount,# Urgency,
Explode,# Urgency,
Extra,# Urgency,
Fortune,# Urgency,
Freebie,# Urgency,
Jackpot,# Urgency,
Reduced,# Urgency,
Instant Savings,# Urgency,
Skyrocket,# Urgency,
Immediately,# Urgency,
Imminently ,# Urgency,
doubtful,# Confusion,
uncertain,# Confusion,
indecisive,# Confusion,
perplexed,# Confusion,
embarrassed,# Confusion,
hesitant,# Confusion,
disillusioned,# Confusion,
distrustful,# Confusion,
misgiving,# Confusion,
unsure,# Confusion,
tense,# Confusion,
stressed,# Confusion,
uncomfortable,# Confusion,
dishonest,# Confusion,
disdainful,# Confusion,
manipulative,# Confusion,
judgmental,# Confusion,
argumentative,# Confusion,
authoritative,# Confusion,
condescending,# Confusion,
distracted,# Confusion,
disoriented,# Confusion,
off-kilter,# Confusion,
frenzied,# Confusion,
blushing,# Confusion,
awkward,# Confusion,
incapable,# Confusion,
paralyzed,# Confusion,
fatigued,# Confusion,
inferior,# Confusion,
vulnerable,# Confusion,
distressed,# Confusion,
pathetic,# Confusion,
distraught,# Confusion,
doomed,# Confusion,
overwhelmed,# Confusion,
incompetent,# Confusion,
incapacitated,# Confusion,
trapped,# Confusion,
squirming,# Confusion,
jittery,# Confusion,
woozy,# Confusion,
twitching,# Confusion,
compulsive,# Confusion,
uncaring,# Confusion,
uninterested,# Confusion,
unresponsive,# Confusion,
terrified,# Confusion,
suspicious,# Confusion,
anxious,# Confusion,
alarmed,# Confusion,
panicked,# Confusion,
threatened,# Confusion,
cowardly,# Confusion,
insecure,# Confusion,
Deceived ,# Confusion,
Helplessness,# Confusion,
Disempowered,# Confusion,
Ordeal,# Anger,frustrated%100
Outrageousness,# Anger,frustrated%100
Provoke,# Anger,frustrated%100
Repulsive,# Anger,frustrated%100
Scandal,# Anger,frustrated%100
Severe,# Anger,frustrated%100
Shameful,# Anger,frustrated%100
Shocking,# Anger,frustrated%100
Terrible,# Anger,frustrated%100
Tragic,# Anger,frustrated%100
Unreliable,# Anger,frustrated%100
Unstable,# Anger,frustrated%100
Wicked,# Anger,frustrated%100
Aggravate,# Anger,frustrated%100
Agony,# Anger,frustrated%100
Appalled,# Anger,frustrated%100
Atrocious,# Anger,frustrated%100
Corrupting,# Anger,frustrated%100
Damaging,# Anger,frustrated%100
Deplorable,# Anger,frustrated%100
Disadvantages,# Anger,frustrated%100
Disastrous,# Anger,frustrated%100
Disgusted,# Anger,frustrated%100
Dreadful,# Anger,frustrated%100
Eliminate,# Anger,frustrated%100
Harmful,# Anger,frustrated%100
Harsh,# Anger,frustrated%100
Inconsiderate,# Anger,frustrated%100
enraged,# Anger,frustrated%100
offensive,# Anger,frustrated%100
aggressive,# Anger,frustrated%100
frustrated,# Anger,frustrated%100
controlling,# Anger,frustrated%100
resentful,# Anger,frustrated%100
malicious,# Anger,frustrated%100
infuriated,# Anger,frustrated%100
critical,# Anger,frustrated%100
violent,# Anger,frustrated%100
vindictive,# Anger,frustrated%100
sadistic,# Anger,frustrated%100
spiteful,# Anger,frustrated%100
furious,# Anger,frustrated%100
agitated,# Anger,frustrated%100
antagonistic,# Anger,frustrated%100
repulsed,# Anger,frustrated%100
quarrelsome,# Anger,frustrated%100
venomous,# Anger,frustrated%100
rebellious,# Anger,frustrated%100
exasperated,# Anger,frustrated%100
impatient,# Anger,frustrated%100
contrary,# Anger,frustrated%100
condemning,# Anger,frustrated%100
seething,# Anger,frustrated%100
scornful,# Anger,frustrated%100
sarcastic,# Anger,frustrated%100
poisonous,# Anger,frustrated%100
jealous,# Anger,frustrated%100
ticked off,# Anger,frustrated%100
revengeful,# Anger,frustrated%100
retaliating,# Anger,frustrated%100
reprimanding,# Anger,frustrated%100
powerless,# Anger,frustrated%100
despicable,# Anger,frustrated%100
self-hating,# Anger,frustrated%100
desperate,# Anger,frustrated%100
alienated,# Anger,frustrated%100
pessimistic,# Anger,frustrated%100
dejected,# Anger,frustrated%100
vilified,# Anger,frustrated%100
unjustified,# Anger,frustrated%100
violated,# Anger,frustrated%100
